BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,01  ONE FAMILY DWELLINGS,1,0,8275,937,1910,425880,8/6/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1850,1534,1945,212000,2/26/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1827,1744,1964,75000,4/18/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1980,1582,1940,389000,11/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1782,1188,1940,280000,3/3/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2856,1248,1925,369500,10/20/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,4280,1411,1930,368000,2/23/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,4280,1411,1930,368000,1/29/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3375,1200,1930,420000,5/22/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3700,1200,1930,360000,12/4/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2375,1248,1930,360000,8/12/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2850,1120,1930,330000,8/19/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,896,1930,372587,8/3/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5000,1289,1949,335000,12/7/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2100,1296,1955,396550,7/8/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,1782,1957,275000,10/27/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2750,1505,1925,365000,1/9/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3750,1118,1925,300000,9/18/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,1386,1925,240000,10/16/2015
Bronx,01  ONE FAMILY DWELLINGS,1,1,3748,2204,1925,424000,9/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5344,1300,1925,450000,10/5/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2250,1376,1920,469000,6/24/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3220,1312,1925,375000,12/21/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,4203,1060,1930,210100,8/13/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2494,1260,1950,100000,3/31/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,1158,1920,399000,8/13/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1350,1782,1960,323850,3/5/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2375,1648,1950,345000,1/7/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3555,928,1925,395000,10/1/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,2295,2014,525000,6/19/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2375,1804,1934,260000,10/26/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2961,1653,1925,211000,6/16/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5049,414,1931,228775,8/11/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5525,1120,1920,350000,12/28/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5000,2258,1925,490000,12/29/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2742,1925,1965,265000,5/27/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5000,1260,1950,330000,12/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2214,2008,560000,3/25/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1900,2125,1945,15000,8/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2144,2304,1920,357000,10/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1888,2061,1950,325000,10/22/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1888,2061,1950,250000,8/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2176,1900,1950,465000,9/2/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3610,3792,1930,619000,6/25/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2850,2110,1950,262000,8/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3062,0,1915,214825,1/26/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1918,1813,1945,145000,11/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2118,2071,1960,370000,8/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4200,3300,1970,423280,6/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2415,1872,1950,465000,7/31/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,1500,1901,450000,8/21/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,1560,1950,255000,9/8/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1900,1406,1945,230000,12/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1900,1406,1945,260000,2/20/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2450,2650,1960,485000,11/3/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1925,1952,1955,381600,8/7/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2160,1920,545000,12/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2160,1920,258100,2/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2033,1536,1945,190000,6/23/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2050,1280,1920,325000,1/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1520,1440,1940,200000,3/3/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1520,1440,1940,152000,6/19/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1830,2070,1940,400000,6/11/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1995,2750,1965,475000,3/10/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4750,2880,1965,450000,5/21/2015
Bronx,02  TWO FAMILY DWELLINGS,2,1,3840,2570,1965,599000,3/31/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2280,1701,1950,445000,10/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2874,3034,1970,450000,6/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2100,3150,1970,481940,4/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2269,1880,1970,492000,4/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2400,1856,1950,370000,3/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1805,2474,1950,405000,8/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2044,1531,1950,451500,6/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1917,2394,1960,455008,8/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1917,2394,1960,455008,8/10/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2477,1584,1955,597751,5/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2625,1584,1955,469000,1/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3642,1750,1950,386900,9/21/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1900,1665,2004,559000,12/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1895,2500,1955,565000,9/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2605,2010,485000,12/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4750,1536,1940,20000,10/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,1,4590,3528,1960,190000,3/5/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1868,2351,1960,399000,1/20/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2630,1970,2006,560000,6/5/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2040,2004,300000,11/6/2015
